section,comp_name,comp_desc,sample_keywords,dartdocs_link,image
basic,Container,"A multi-purpose widget which can apply padding to its child, draw decorations (e.g. borders or shadows) around the padding, and whose width and height can be set.",%22new+Container%22,https://docs.flutter.io/flutter/widgets/Container-class.html,"<svg viewBox='0 0 100 100'><defs><marker id='arrow-container-1' orient='auto-start-reverse' viewBox='0 0 1 1' markerWidth='3' markerHeight='3' refX='0.5' refY='0.5'><path d='M 1 0.5 L 0.5 0 L 0.5 1 z' fill='#f50057'/></marker><marker id='arrow-container-2' orient='auto-start-reverse' viewBox='0 0 1 1' markerWidth='3' markerHeight='3' refX='0.5' refY='0.5'><path d='M 1 0.5 L 0.5 0 L 0.5 1 z' fill='#ffffff'/></marker><filter id='shadow-container' x='-50%' y='-50%' width='200%' height='200%'><feGaussianBlur stdDeviation='4'/></filter><linearGradient id='gradient-container' x1='0' y1='0.2' x2='0.4' y2='0.9'><stop offset='55%' stop-color='#ffffff'/><stop offset='100%' stop-color='#fdccdd'/></linearGradient></defs><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='15' y='25' width='70' height='47.5' rx='10' ry='10' fill='#000000' filter='url(#shadow-container)'/><rect x='15' y='25' width='70' height='47.5' rx='10' ry='10' fill='url(#gradient-container)' stroke-width='5' stroke='#3b75ad'/><rect x='30' y='40' width='40' height='30' fill='#4dd0e1'/><line x1='20' y1='55' x2='27' y2='55' stroke='#f50057' stroke-width='2' marker-start='url(#arrow-container-1)' marker-end='url(#arrow-container-1)'/><line x1='73' y1='55' x2='80' y2='55' stroke='#f50057' stroke-width='2' marker-start='url(#arrow-container-1)' marker-end='url(#arrow-container-1)'/><line x1='50' y1='30' x2='50' y2='37' stroke='#f50057' stroke-width='2' marker-start='url(#arrow-container-1)' marker-end='url(#arrow-container-1)'/><line x1='50' y1='78' x2='50' y2='82' stroke='#f50057' stroke-width='2' marker-start='url(#arrow-container-1)' marker-end='url(#arrow-container-1)'/><line x1='16' y1='17.5' x2='85' y2='17.5' stroke='#ffffff' stroke-width='2' marker-start='url(#arrow-container-2)' marker-end='url(#arrow-container-2)'/><line x1='7.5' y1='26' x2='7.5' y2='72' stroke='#ffffff' stroke-width='2' marker-start='url(#arrow-container-2)' marker-end='url(#arrow-container-2)'/></svg>"
basic,Text,"A run of text with a single style.",%22new+Text%22,https://docs.flutter.io/flutter/widgets/Text-class.html,"<svg viewBox='0 0 100 100'><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='20' y='30' width='60' height='40' fill='#ffffff'/><text x='50' y='60' text-anchor='middle' font-family='Roboto' font-size='25' fill='#3b75ad'>Abc</text></svg>"
basic,Image,"A widget that displays an image.",%22new+Image%22,https://docs.flutter.io/flutter/widgets/Image-class.html,"<svg viewBox='0 0 100 100'><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='20' y='20' width='60' height='60' fill='#ffffff'/><image x='22.5' y='22.5' width='55' height='55' xlink:href='../images/owl.jpg'/></svg>"
layout,Row,"Layout a list of child widgets in the horizontal direction.",%22new+Row%22,https://docs.flutter.io/flutter/widgets/Row-class.html,"<svg viewBox='0 0 100 100'><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='10' y='30' width='80' height='40' fill='#ffffff'/><rect x='15' y='40' width='20' height='20' fill='#4dd0e1'/><rect x='40' y='35' width='30' height='30' fill='#4dd0e1'/></svg>"
layout,Column,"Layout a list of child widgets in the vertical direction.",%22new+Column%22,https://docs.flutter.io/flutter/widgets/Column-class.html,"<svg viewBox='0 0 100 100'><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='30' y='10' width='40' height='80' fill='#ffffff'/><rect x='40' y='15' width='20' height='20' fill='#4dd0e1'/><rect x='35' y='40' width='30' height='30' fill='#4dd0e1'/></svg>"
layout,Expanded,"Configures a child of a <a href='https://docs.flutter.io/flutter/widgets/Row-class.html'>Row</a> or <a href='https://docs.flutter.io/flutter/widgets/Column-class.html'>Column</a> to make it expand to fit the container.",%22new+Expanded%22,https://docs.flutter.io/flutter/widgets/Expanded-class.html,"<svg viewBox='0 0 100 100'><defs><marker id='arrow-flexible' orient='auto-start-reverse' viewBox='0 0 1 1' markerWidth='3' markerHeight='3' refX='0.5' refY='0.5'><path d='M 1 0.5 L 0.5 0 L 0.5 1 z' fill='#ffffff'/></marker></defs><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='10' y='30' width='80' height='40' fill='#c8c8c8'/><rect x='15' y='40' width='20' height='20' fill='#eeeeee'/><rect x='40' y='35' width='45' height='30' fill='#4dd0e1'/><line x1='43' y1='50' x2='82' y2='50' stroke='#ffffff' stroke-width='2' marker-start='url(#arrow-flexible)' marker-end='url(#arrow-flexible)'/></svg>"
layout,Stack,"Layout a list of child widgets on top of each other from back to front.",%22new+Stack%22,https://docs.flutter.io/flutter/widgets/Stack-class.html,"<svg viewBox='0 0 100 100'><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='10' y='10' width='80' height='80' fill='#ffffff'/><rect x='25' y='25' width='40' height='30' fill='#3b75ad'/><rect x='45' y='35' width='30' height='30' fill='#4dd0e1'/><rect x='40' y='50' width='10' height='10' fill='#f50057'/></svg>"
layout,Positioned,"Configures the position and size of a child of a <a href='https://docs.flutter.io/flutter/widgets/Stack-class.html'>Stack</a>.",%22new+Positioned%22,https://docs.flutter.io/flutter/widgets/Positioned-class.html,"<svg viewBox='0 0 100 100'><defs><marker id='arrow-positioned' orient='auto-start-reverse' viewBox='0 0 1 1' markerWidth='3' markerHeight='3' refX='0.5' refY='0.5'><path d='M 1 0.5 L 0.5 0 L 0.5 1 z' fill='#f50057'/></marker></defs><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='10' y='10' width='80' height='80' fill='#c8c8c8'/><rect x='25' y='25' width='40' height='30' fill='#eeeeee'/><rect x='45' y='35' width='30' height='30' fill='#eeeeee'/><rect x='40' y='50' width='10' height='10' fill='#4dd0e1'/><line x1='10' y1='55' x2='37' y2='55' stroke='#f50057' stroke-width='2' marker-end='url(#arrow-positioned)'/><line x1='90' y1='55' x2='53' y2='55' stroke='#f50057' stroke-width='2' marker-end='url(#arrow-positioned)'/><line x1='45' y1='10' x2='45' y2='47' stroke='#f50057' stroke-width='2' marker-end='url(#arrow-positioned)'/><line x1='45' y1='90' x2='45' y2='63' stroke='#f50057' stroke-width='2' marker-end='url(#arrow-positioned)'/></svg>"
layout,Block,"Arranges children one after the other, and scrolls if necessary. Not as efficient as <a href='https://docs.flutter.io/flutter/widgets/LazyBlock-class.html'>LazyBlock</a> or <a href='https://docs.flutter.io/flutter/widgets/ScrollableList-class.html'>ScrollableList</a>.",%22new+Block%22,https://docs.flutter.io/flutter/widgets/Block-class.html,"<svg viewBox='0 0 100 100'><filter id='inset-shadow-block' x='-50%' y='-50%' width='200%' height='200%'><feComponentTransfer in='SourceAlpha'><feFuncA type='table' tableValues='1 0' /></feComponentTransfer><feGaussianBlur stdDeviation='2' result='Blur'/><feFlood flood-color='#666666' result='color'/><feComposite in2='Blur' operator='in'/><feComposite in2='SourceAlpha' operator='in' /><feMerge><feMergeNode /></feMerge></filter><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='30' y='10' width='40' height='80' fill='#ffffff'/><rect x='35' y='10' width='30' height='15' fill='#4dd0e1'/><rect x='35' y='30' width='30' height='20' fill='#4dd0e1'/><rect x='35' y='55' width='30' height='5' fill='#4dd0e1'/><rect x='35' y='65' width='30' height='15' fill='#4dd0e1'/><rect x='35' y='85' width='30' height='5' fill='#4dd0e1'/><rect x='30' y='10' width='40' height='80' fill='#ffffff' filter='url(#inset-shadow-block)'/></svg>"
layout,LazyBlock,"Arranges children one after the other, and scrolls if necessary. More efficient than <a href='https://docs.flutter.io/flutter/widgets/Block-class.html'>Block</a>. Not as efficient as <a href='https://docs.flutter.io/flutter/widgets/ScrollableLazyList-class.html'>ScrollableLazyList</a>.",%22new+LazyBlock%22,https://docs.flutter.io/flutter/widgets/LazyBlock-class.html,"<svg viewBox='0 0 100 100'><filter id='inset-shadow-lazy-block' x='-50%' y='-50%' width='200%' height='200%'><feComponentTransfer in='SourceAlpha'><feFuncA type='table' tableValues='1 0' /></feComponentTransfer><feGaussianBlur stdDeviation='2' result='Blur'/><feFlood flood-color='#666666' result='color'/><feComposite in2='Blur' operator='in'/><feComposite in2='SourceAlpha' operator='in' /><feMerge><feMergeNode /></feMerge></filter><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='30' y='10' width='40' height='80' fill='#ffffff'/><rect x='35' y='10' width='30' height='15' fill='#4dd0e1'/><rect x='35' y='30' width='30' height='20' fill='#4dd0e1'/><rect x='35' y='55' width='30' height='5' fill='#4dd0e1'/><rect x='35' y='65' width='30' height='15' fill='#4dd0e1'/><rect x='35' y='85' width='30' height='5' fill='#4dd0e1'/><rect x='30' y='10' width='40' height='80' fill='#ffffff' filter='url(#inset-shadow-lazy-block)'/><text x='95' y='95' text-anchor='end' font-family='Roboto' font-size='25' fill='#ffffff'>&lambda; </text></svg>"
layout,ScrollableList,"A scrollable list of children that have equal size. More efficient than <a href='https://docs.flutter.io/flutter/widgets/Block-class.html'>Block</a>. Not as efficient as <a href='https://docs.flutter.io/flutter/widgets/ScrollableLazyList-class.html'>ScrollableLazyList</a>.",%22new+ScrollableList%22,https://docs.flutter.io/flutter/widgets/ScrollableList-class.html,"<svg viewBox='0 0 100 100'><filter id='inset-shadow-scrollable-list' x='-50%' y='-50%' width='200%' height='200%'><feComponentTransfer in='SourceAlpha'><feFuncA type='table' tableValues='1 0' /></feComponentTransfer><feGaussianBlur stdDeviation='2' result='Blur'/><feFlood flood-color='#666666' result='color'/><feComposite in2='Blur' operator='in'/><feComposite in2='SourceAlpha' operator='in' /><feMerge><feMergeNode /></feMerge></filter><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='30' y='10' width='40' height='80' fill='#ffffff'/><rect x='35' y='10' width='30' height='5' fill='#4dd0e1'/><rect x='35' y='20' width='30' height='10' fill='#4dd0e1'/><rect x='35' y='35' width='30' height='10' fill='#4dd0e1'/><rect x='35' y='50' width='30' height='10' fill='#4dd0e1'/><rect x='35' y='65' width='30' height='10' fill='#4dd0e1'/><rect x='35' y='80' width='30' height='10' fill='#4dd0e1'/><rect x='30' y='10' width='40' height='80' fill='#ffffff' filter='url(#inset-shadow-scrollable-list)'/></svg>"
layout,ScrollableLazyList,"A scrollable list of children that have equal size. More efficient than <a href='https://docs.flutter.io/flutter/widgets/ScrollableList-class.html'>ScrollableList</a>.",%22new+ScrollableLazyList%22,https://docs.flutter.io/flutter/widgets/ScrollableList-class.html,"<svg viewBox='0 0 100 100'><filter id='inset-shadow-scrollable-lazy-list' x='-50%' y='-50%' width='200%' height='200%'><feComponentTransfer in='SourceAlpha'><feFuncA type='table' tableValues='1 0' /></feComponentTransfer><feGaussianBlur stdDeviation='2' result='Blur'/><feFlood flood-color='#666666' result='color'/><feComposite in2='Blur' operator='in'/><feComposite in2='SourceAlpha' operator='in' /><feMerge><feMergeNode /></feMerge></filter><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='30' y='10' width='40' height='80' fill='#ffffff'/><rect x='35' y='10' width='30' height='5' fill='#4dd0e1'/><rect x='35' y='20' width='30' height='10' fill='#4dd0e1'/><rect x='35' y='35' width='30' height='10' fill='#4dd0e1'/><rect x='35' y='50' width='30' height='10' fill='#4dd0e1'/><rect x='35' y='65' width='30' height='10' fill='#4dd0e1'/><rect x='35' y='80' width='30' height='10' fill='#4dd0e1'/><rect x='30' y='10' width='40' height='80' fill='#ffffff' filter='url(#inset-shadow-scrollable-lazy-list)'/><text x='95' y='95' text-anchor='end' font-family='Roboto' font-size='25' fill='#ffffff'>&lambda; </text></svg>"
pos,Center,"Center the child widget both horizontally and vertically within the space occupied by this widget.",%22new+Center%22,https://docs.flutter.io/flutter/widgets/Center-class.html,"<svg viewBox='0 0 100 100'><defs><marker id='arrow-center' orient='auto-start-reverse' viewBox='0 0 1 1' markerWidth='3' markerHeight='3' refX='0.5' refY='0.5'><path d='M 1 0.5 L 0.5 0 L 0.5 1 z' fill='#f50057'/></marker></defs><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='10' y='20' width='80' height='60' fill='#ffffff'/><rect x='25' y='35' width='50' height='30' fill='#4dd0e1'/><line x1='10' y1='50' x2='22' y2='50' stroke='#f50057' stroke-width='2' marker-end='url(#arrow-center)'/><line x1='90' y1='50' x2='78' y2='50' stroke='#f50057' stroke-width='2' marker-end='url(#arrow-center)'/><line x1='50' y1='20' x2='50' y2='32' stroke='#f50057' stroke-width='2' marker-end='url(#arrow-center)'/><line x1='50' y1='80' x2='50' y2='68' stroke='#f50057' stroke-width='2' marker-end='url(#arrow-center)'/></svg>"
pos,Align,"Aligns its child box within itself.",%22new+Align%22,https://docs.flutter.io/flutter/widgets/Align-class.html,"<svg viewBox='0 0 100 100'><defs><marker id='arrow-align' orient='auto-start-reverse' viewBox='0 0 1 1' markerWidth='3' markerHeight='3' refX='0.5' refY='0.5'><path d='M 1 0.5 L 0.5 0 L 0.5 1 z' fill='#f50057'/></marker></defs><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='10' y='20' width='80' height='60' fill='#ffffff'/><rect x='15' y='50' width='50' height='30' fill='#4dd0e1'/><line x1='10' y1='65' x2='12' y2='65' stroke='#f50057' stroke-width='2' marker-end='url(#arrow-align)'/><line x1='90' y1='65' x2='68' y2='65' stroke='#f50057' stroke-width='2' marker-end='url(#arrow-align)'/><line x1='40' y1='20' x2='40' y2='47' stroke='#f50057' stroke-width='2' marker-end='url(#arrow-align)'/></svg>"
pos,Padding,"Surround the child with empty space on the top, right, bottom, and left according to the given <a href='https://docs.flutter.io/flutter/rendering/EdgeInsets-class.html'>EdgeInsets</a>.",%22new+Padding%22,https://docs.flutter.io/flutter/widgets/Padding-class.html,"<svg viewBox='0 0 100 100'><defs><marker id='arrow-padding' orient='auto-start-reverse' viewBox='0 0 1 1' markerWidth='3' markerHeight='3' refX='0.5' refY='0.5'><path d='M 1 0.5 L 0.5 0 L 0.5 1 z' fill='#f50057'/></marker></defs><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='10' y='20' width='80' height='60' fill='#ffffff'/><rect x='25' y='30' width='50' height='30' fill='#4dd0e1'/><line x1='13' y1='45' x2='22' y2='45' stroke='#f50057' stroke-width='2' marker-start='url(#arrow-padding)' marker-end='url(#arrow-padding)'/><line x1='78' y1='45' x2='87' y2='45' stroke='#f50057' stroke-width='2' marker-start='url(#arrow-padding)' marker-end='url(#arrow-padding)'/><line x1='50' y1='23' x2='50' y2='27' stroke='#f50057' stroke-width='2' marker-start='url(#arrow-padding)' marker-end='url(#arrow-padding)'/><line x1='50' y1='63' x2='50' y2='77' stroke='#f50057' stroke-width='2' marker-start='url(#arrow-padding)' marker-end='url(#arrow-padding)'/></svg>"
pos,SizedBox,"Force the child widget to have a particular width or height (or both).",%22new+SizedBox%22,https://docs.flutter.io/flutter/widgets/SizedBox-class.html,"<svg viewBox='0 0 100 100'><defs><marker id='arrow-sized-box' orient='auto-start-reverse' viewBox='0 0 1 1' markerWidth='3' markerHeight='3' refX='0.5' refY='0.5'><path d='M 1 0.5 L 0.5 0 L 0.5 1 z' fill='#ffffff'/></marker></defs><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='25' y='35' width='50' height='30' fill='#ffffff'/><rect x='27.5' y='37.5' width='45' height='25' fill='#4dd0e1'/><line x1='28' y1='30' x2='72' y2='30' stroke='#ffffff' stroke-width='2' marker-start='url(#arrow-sized-box)' marker-end='url(#arrow-sized-box)'/><line x1='20' y1='38' x2='20' y2='62' stroke='#ffffff' stroke-width='2' marker-start='url(#arrow-sized-box)' marker-end='url(#arrow-sized-box)'/></svg>"
pos,ConstrainedBox,"Apply the given <a href='https://docs.flutter.io/flutter/rendering/BoxConstraints-class.html'>BoxConstraints</a> to the child widget as additional constraints during layout. This widget is a generalization of <a href='https://docs.flutter.io/flutter/widgets/SizedBox-class.html'>SizedBox</a>.",%22new+ConstrainedBox%22,https://docs.flutter.io/flutter/widgets/ConstrainedBox-class.html,"<svg viewBox='0 0 100 100'><defs><marker id='arrow-constrained-box' orient='auto-start-reverse' viewBox='0 0 1 1' markerWidth='3' markerHeight='3' refX='0.5' refY='0.5'><path d='M 1 0.5 L 0.5 0 L 0.5 1 z' fill='#ffffff'/></marker></defs><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='20' y='30' width='50' height='40' fill='#ffffff'/><rect x='22.5' y='32.5' width='45' height='35' fill='#4dd0e1'/><path d='M63 23 v 40' stroke='#ffffff' stroke-width='1' stroke-linecap='round' stroke-dasharray='0.5 3.1' fill='transparent'/><path d='M77 23 v 54' stroke='#ffffff' stroke-width='1' stroke-linecap='round' stroke-dasharray='0.5 3.1' fill='transparent'/><path d='M13 63 h 50' stroke='#ffffff' stroke-width='1' stroke-linecap='round' stroke-dasharray='0.5 3.1' fill='transparent'/><path d='M13 77 h 64' stroke='#ffffff' stroke-width='1' stroke-linecap='round' stroke-dasharray='0.5 3.1' fill='transparent'/><path d='M50 25 L60 25' stroke='#ffffff' stroke-width='2' marker-end='url(#arrow-constrained-box)'/><path d='M90 25 L80 25' stroke='#ffffff' stroke-width='2' marker-end='url(#arrow-constrained-box)'/><path d='M15 50 L15 60' stroke='#ffffff' stroke-width='2' marker-end='url(#arrow-constrained-box)'/><path d='M15 90 L15 80' stroke='#ffffff' stroke-width='2' marker-end='url(#arrow-constrained-box)'/></svg>"
pos,AspectRatio,"Force the child widget's width and height to have the given aspect ratio, expressed as a ratio of width to height.",%22new+AspectRatio%22,https://docs.flutter.io/flutter/widgets/AspectRatio-class.html,"<svg viewBox='0 0 100 100'><defs><marker id='arrow-aspect-ratio' orient='auto-start-reverse' viewBox='0 0 1 1' markerWidth='3' markerHeight='3' refX='0.5' refY='0.5'><path d='M 1 0.5 L 0.5 0 L 0.5 1 z' fill='#ffffff'/></marker></defs><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='25' y='35' width='50' height='30' fill='#ffffff'/><rect x='27.5' y='37.5' width='45' height='25' fill='#4dd0e1'/><line x1='31' y1='41' x2='69' y2='59' stroke='#ffffff' stroke-width='2' marker-start='url(#arrow-aspect-ratio)' marker-end='url(#arrow-aspect-ratio)'/></svg>"
pos,Transform,"Apply the given matrix to the child before painting the child. This widget is useful for adjusting the visual size and position of a widget without affecting layout.",%22new+Transform%22,https://docs.flutter.io/flutter/widgets/Transform-class.html,"<svg viewBox='0 0 100 100'><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='17.5' y='42.5' width='50' height='30' fill='#ffffff'/><rect x='20' y='45' width='45' height='25' fill='#3b75ad'/><rect x='20' y='45' width='45' height='25' fill='#4dd0e1' transform='translate(15 -5) rotate(-23) skewX(-10)'/></svg>"
pos,Baseline,"If the child widget has a baseline of the given type, position the child such that its baseline is at a given number of logical pixels from the top of this widget.",%22new+Baseline%22,https://docs.flutter.io/flutter/widgets/Baseline-class.html,"<svg viewBox='0 0 100 100'><defs><marker id='arrow-baseline' orient='auto-start-reverse' viewBox='0 0 1 1' markerWidth='3' markerHeight='3' refX='0.5' refY='0.5'><path d='M 1 0.5 L 0.5 0 L 0.5 1 z' fill='#ffffff'/></marker></defs><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='20' y='20' width='60' height='50' fill='#ffffff'/><rect x='20' y='45' width='60' height='30' fill='#4dd0e1'/><line x1='85' y1='20' x2='85' y2='66' stroke='#ffffff' stroke-width='2' marker-end='url(#arrow-baseline)'/><line x1='15' y1='20' x2='15' y2='66' stroke='#ffffff' stroke-width='2' marker-end='url(#arrow-baseline)'/><line x1='10' y1='70' x2='90' y2='70' stroke='#ffffff' stroke-width='2'/><text x='50' y='69' text-anchor='middle' font-family='Roboto' font-size='25' fill='#3b75ad'>Abc </text></svg>"
paint,DecoratedBox,"Draw the given <a href='https://docs.flutter.io/flutter/painting/BoxDecoration-class.html'>BoxDecoration</a> surrounding the child widget.",%22new+DecoratedBox%22,https://docs.flutter.io/flutter/widgets/DecoratedBox-class.html,"<svg viewBox='0 0 100 100'><defs><filter id='shadow-decorated-box' x='-50%' y='-50%' width='200%' height='200%'><feGaussianBlur stdDeviation='4'/></filter><linearGradient id='gradient-decorated-box' x1='0' y1='0' x2='0.5' y2='1'><stop offset='50%' stop-color='#ffffff'/><stop offset='100%' stop-color='#f50057'/></linearGradient></defs><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='25' y='25' width='50' height='50' rx='10' ry='10' fill='#000000' filter='url(#shadow-decorated-box)'/><rect x='25' y='25' width='50' height='50' rx='10' ry='10' fill='url(#gradient-decorated-box)' stroke-width='5' stroke='#4dd0e1'/></svg>"
paint,Opacity,"Adjusts the opacity of the child widget, making the child partially transparent. The amount of transparency is controlled by the <code>opacity</code> argument; 0.0 is fully transparent and 1.0 is fully opaque.",%22new+Opacity%22,https://docs.flutter.io/flutter/widgets/Opacity-class.html,"<svg viewBox='0 0 100 100'><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='10' y='10' width='60' height='60' fill='#3b75ad'/><rect x='20' y='30' width='70' height='50' fill='#ffffff' opacity='0.8'/></svg>"
paint,ClipRect,"Apply a rectangular clip to the child widget. The dimensions of the clip match the dimensions of the child.",%22new+ClipRect%22,https://docs.flutter.io/flutter/widgets/ClipRect-class.html,"<svg viewBox='0 0 100 100'><defs><clipPath id='clip-rect'><rect x='10' y='20' width='60' height='60'/></clipPath></defs><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='30' y='10' width='60' height='50' fill='#4dd0e1' opacity='0.05'/><rect x='10' y='20' width='60' height='60' fill='#ffffff'/><rect x='30' y='10' width='60' height='50' fill='#4dd0e1' clip-path='url(#clip-rect)'/></svg>"
paint,ClipRRect,"Apply a rounded-rect clip the child widget.",%22new+ClipRRect%22,https://docs.flutter.io/flutter/widgets/ClipRRect-class.html,"<svg viewBox='0 0 100 100'><defs><clipPath id='clip-rrect'><rect x='10' y='20' width='60' height='60' rx='10' ry='10'/></clipPath></defs><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='30' y='10' width='60' height='50' fill='#4dd0e1' opacity='0.05'/><rect x='10' y='20' width='60' height='60' rx='10' ry='10' fill='#ffffff'/><rect x='30' y='10' width='60' height='50' fill='#4dd0e1' clip-path='url(#clip-rrect)'/></svg>"
paint,ClipOval,"Apply an oval clip to the child widget. The oval will be axis-aligned, with its horizontal and vertical bounds matching the bounds of the child widget.",%22new+ClipOval%22,https://docs.flutter.io/flutter/widgets/ClipOval-class.html,"<svg viewBox='0 0 100 100'><defs><clipPath id='clip-oval'><circle cx='40' cy='50' r='30'/></clipPath></defs><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='30' y='10' width='60' height='50' fill='#4dd0e1' opacity='0.05'/><circle cx='40' cy='50' r='30' fill='#ffffff'/><rect x='30' y='10' width='60' height='50' fill='#4dd0e1' clip-path='url(#clip-oval)'/></svg>"
paint,CustomPaint,"Uses the given <a href='https://docs.flutter.io/flutter/rendering/CustomPainter-class.html'>CustomPainter</a> (which you implement and provide) during the paint phase, providing it with the current <a href='https://docs.flutter.io/flutter/dart-ui/Canvas-class.html'>Canvas</a> and <a href='https://docs.flutter.io/flutter/dart-ui/Size-class.html'>Size</a>.",%22new+CustomPaint%22,https://docs.flutter.io/flutter/widgets/CustomPaint-class.html,"<svg viewBox='0 0 100 100'><rect x='0' y='0' width='100' height='100' fill='#3949ab'/><rect x='20' y='20' width='60' height='60' fill='#ffffff'/><ellipse cx='40' cy='35' rx='10' ry='10' stroke-width='5' stroke='#4dd0e1' fill='transparent'/><ellipse cx='20' cy='71' rx='15' ry='20' stroke-width='5' stroke='#4dd0e1' fill='transparent' transform='rotate(-25)'/></svg>"
